title;platform;genre;audience_score;critics_score;img
Los vivos y los muertos;amazon_prime;horror;88;83;https://resizing.flixster.com/YMYN125bE4s5ExTfXoFX4VO0N-8=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p12992402_b_v8_ac.jpg
Avatar: The Last Airbender;amazon_prime;action;98;100;https://resizing.flixster.com/AOVscsV7du8kSRJdohU10cOKKmQ=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p186109_b_v8_aa.jpg
New Bandits;amazon_prime;action;98;NA;https://resizing.flixster.com/O_kAxKPj7z1KEuDmhGoU_Kx37Dg=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p25400080_b_v8_ag.jpg
Dr. Stone;amazon_prime;action;98;NA;https://resizing.flixster.com/KuuwtYEEzFOFqCdpEWf5n7q-h7s=/206x305/v2/https://resizing.flixster.com/hihMn7wr9mfD1CJDZco-nir1H_4=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvUlRUVjgwNzM4OC53ZWJw
ThunderCats;amazon_prime;action;98;NA;https://resizing.flixster.com/0x59-H7dIcJt1ahgeSd05hez6XE=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p513550_b_v8_ab.jpg
Wayne;amazon_prime;action;97;100;https://resizing.flixster.com/NWMGcUoUTgTrkFaT3609eQ79R7M=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p16784006_b_v8_ac.jpg
Kingdom;amazon_prime;action;97;NA;https://resizing.flixster.com/aSs3vCFtUQvfA_l59BnxEw-3yNM=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p10847518_b_v8_ap.jpg
Almost Paradise;amazon_prime;action;97;NA;https://resizing.flixster.com/b_5z1W9C-f98vi-OuoTB6eLeU0c=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p17888150_b_v13_ae.jpg
Ugly Americans;paramount_plus;horror;94;67;https://resizing.flixster.com/nAQYI2udGq-1JwZPI9iQ7pink_E=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8007047_b_v8_aa.jpg
Avatar: The Last Airbender;paramount_plus;action;98;100;https://resizing.flixster.com/AOVscsV7du8kSRJdohU10cOKKmQ=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p186109_b_v8_aa.jpg
